63 1899
21 11 1.000000
21 12 1.000000
21 13 1.000000
21 14 1.000000
21 15 1.000000
21 16 1.000000
21 17 1.000000
21 18 1.000000
21 19 1.000000
21 20 1.000000
22 2 1.000000
22 63 1.000000
22 3 1.000000
22 4 1.000000
22 5 1.000000
22 6 1.000000
22 7 1.000000
22 8 1.000000
22 9 1.000000
22 10 1.000000
22 11 1.000000
22 12 1.000000
22 13 1.000000
22 14 1.000000
22 15 1.000000
22 16 1.000000
22 17 1.000000
22 18 1.000000
22 19 1.000000
22 20 1.000000
22 21 1.000000
23 2 1.000000
23 63 1.000000
23 3 1.000000
23 4 1.000000
23 5 1.000000
23 6 1.000000
23 7 1.000000
23 8 1.000000
23 9 1.000000
23 10 1.000000
23 11 1.000000
23 12 1.000000
23 13 1.000000
23 14 1.000000
23 15 1.000000
23 16 1.000000
23 17 1.000000
23 18 1.000000
23 19 1.000000
23 20 1.000000
23 21 1.000000
23 22 1.000000
24 2 1.000000
24 63 1.000000
24 3 1.000000
24 4 1.000000
24 5 1.000000
24 6 1.000000
24 7 1.000000
24 8 1.000000
24 9 1.000000
24 10 1.000000
24 11 1.000000
24 12 1.000000
24 13 1.000000
24 14 1.000000
24 15 1.000000
24 16 1.000000
24 17 1.000000
24 18 1.000000
24 19 1.000000
24 20 1.000000
24 21 1.000000
24 22 1.000000
24 23 1.000000
25 2 1.000000
25 63 1.000000
25 3 1.000000
25 4 1.000000
25 5 1.000000
25 6 1.000000
25 7 1.000000
25 8 1.000000
25 9 1.000000
25 10 1.000000
25 11 1.000000
25 12 1.000000
25 13 1.000000
25 14 1.000000
25 15 1.000000
25 16 1.000000
25 17 1.000000
25 18 1.000000
25 19 1.000000
25 20 1.000000
25 21 1.000000
25 22 1.000000
25 23 1.000000
25 24 1.000000
26 2 1.000000
26 63 1.000000
26 3 1.000000
26 4 1.000000
26 5 1.000000
26 6 1.000000
26 7 1.000000
26 8 1.000000
26 9 1.000000
26 10 1.000000
26 11 1.000000
26 12 1.000000
26 13 1.000000
26 14 1.000000
26 15 1.000000
26 16 1.000000
26 17 1.000000
26 18 1.000000
26 19 1.000000
26 20 1.000000
26 21 1.000000
26 22 1.000000
26 23 1.000000
26 24 1.000000
26 25 1.000000
27 2 1.000000
27 63 1.000000
27 3 1.000000
27 4 1.000000
27 5 1.000000
27 6 1.000000
27 7 1.000000
27 8 1.000000
27 9 1.000000
27 10 1.000000
27 11 1.000000
27 12 1.000000
27 13 1.000000
27 14 1.000000
27 15 1.000000
27 16 1.000000
27 17 1.000000
27 18 1.000000
27 19 1.000000
27 20 1.000000
27 21 1.000000
27 22 1.000000
27 23 1.000000
27 24 1.000000
27 25 1.000000
27 26 1.000000
28 1 1.000000
28 2 1.000000
28 63 1.000000
28 3 1.000000
28 4 1.000000
28 5 1.000000
28 6 1.000000
28 7 1.000000
28 8 1.000000
28 9 1.000000
28 10 1.000000
28 11 1.000000
28 12 1.000000
28 13 1.000000
28 14 1.000000
28 15 1.000000
28 16 1.000000
28 17 1.000000
28 18 1.000000
28 19 1.000000
28 20 1.000000
28 21 1.000000
28 22 1.000000
28 23 1.000000
28 24 1.000000
28 25 1.000000
28 26 1.000000
28 27 1.000000
29 2 1.000000
29 63 1.000000
29 3 1.000000
29 4 1.000000
29 5 1.000000
29 6 1.000000
29 7 1.000000
29 8 1.000000
29 9 1.000000
29 10 1.000000
29 11 1.000000
29 12 1.000000
29 13 1.000000
29 14 1.000000
29 15 1.000000
29 16 1.000000
29 17 1.000000
29 18 1.000000
29 19 1.000000
29 20 1.000000
29 21 1.000000
29 22 1.000000
29 23 1.000000
29 24 1.000000
29 25 1.000000
29 26 1.000000
29 27 1.000000
29 28 1.000000
30 2 1.000000
30 63 1.000000
30 3 1.000000
30 4 1.000000
30 5 1.000000
30 6 1.000000
30 7 1.000000
30 8 1.000000
30 9 1.000000
30 10 1.000000
30 11 1.000000
30 12 1.000000
30 13 1.000000
30 14 1.000000
30 15 1.000000
30 16 1.000000
30 17 1.000000
30 18 1.000000
30 19 1.000000
30 20 1.000000
30 21 1.000000
30 22 1.000000
30 23 1.000000
30 24 1.000000
30 25 1.000000
30 26 1.000000
30 27 1.000000
30 28 1.000000
30 29 1.000000
31 2 1.000000
31 63 1.000000
31 3 1.000000
31 4 1.000000
31 5 1.000000
31 6 1.000000
31 7 1.000000
31 8 1.000000
31 9 1.000000
31 10 1.000000
31 11 1.000000
31 12 1.000000
31 13 1.000000
31 14 1.000000
31 15 1.000000
31 16 1.000000
31 17 1.000000
31 18 1.000000
31 19 1.000000
31 20 1.000000
31 21 1.000000
31 22 1.000000
31 23 1.000000
31 24 1.000000
31 25 1.000000
31 26 1.000000
31 27 1.000000
31 28 1.000000
31 29 1.000000
31 30 1.000000
32 2 1.000000
32 63 1.000000
32 3 1.000000
32 4 1.000000
32 5 1.000000
32 6 1.000000
32 7 1.000000
32 8 1.000000
32 9 1.000000
32 10 1.000000
32 11 1.000000
32 12 1.000000
32 13 1.000000
32 14 1.000000
32 15 1.000000
32 16 1.000000
32 17 1.000000
32 18 1.000000
32 19 1.000000
32 20 1.000000
32 21 1.000000
32 22 1.000000
32 23 1.000000
32 24 1.000000
32 25 1.000000
32 26 1.000000
32 27 1.000000
32 28 1.000000
32 29 1.000000
32 30 1.000000
32 31 1.000000
33 2 1.000000
33 63 1.000000
33 3 1.000000
33 4 1.000000
33 5 1.000000
33 6 1.000000
33 7 1.000000
33 8 1.000000
33 9 1.000000
33 10 1.000000
33 11 1.000000
33 12 1.000000
33 13 1.000000
33 14 1.000000
33 15 1.000000
33 16 1.000000
33 17 1.000000
33 18 1.000000
33 19 1.000000
33 20 1.000000
33 21 1.000000
33 22 1.000000
33 23 1.000000
33 24 1.000000
33 25 1.000000
33 26 1.000000
33 27 1.000000
33 28 1.000000
33 29 1.000000
33 30 1.000000
33 31 1.000000
33 32 1.000000
34 2 1.000000
34 63 1.000000
34 3 1.000000
34 4 1.000000
34 5 1.000000
34 6 1.000000
34 7 1.000000
34 8 1.000000
34 9 1.000000
34 10 1.000000
34 11 1.000000
34 12 1.000000
34 13 1.000000
34 14 1.000000
34 15 1.000000
34 16 1.000000
34 17 1.000000
34 18 1.000000
34 19 1.000000
34 20 1.000000
34 21 1.000000
34 22 1.000000
34 23 1.000000
34 24 1.000000
34 25 1.000000
34 26 1.000000
34 27 1.000000
34 28 1.000000
34 29 1.000000
34 30 1.000000
34 31 1.000000
34 32 1.000000
34 33 1.000000
35 2 1.000000
35 63 1.000000
35 3 1.000000
35 4 1.000000
35 5 1.000000
35 6 1.000000
35 7 1.000000
35 8 1.000000
35 9 1.000000
35 10 1.000000
35 11 1.000000
35 12 1.000000
35 13 1.000000
35 14 1.000000
35 15 1.000000
35 16 1.000000
35 17 1.000000
35 18 1.000000
35 19 1.000000
35 20 1.000000
35 21 1.000000
35 22 1.000000
35 23 1.000000
35 24 1.000000
35 25 1.000000
35 26 1.000000
35 27 1.000000
35 28 1.000000
35 29 1.000000
35 30 1.000000
35 31 1.000000
35 32 1.000000
35 33 1.000000
35 34 1.000000
36 2 1.000000
36 63 1.000000
36 3 1.000000
36 4 1.000000
36 5 1.000000
36 6 1.000000
36 7 1.000000
36 8 1.000000
36 9 1.000000
36 10 1.000000
36 11 1.000000
36 12 1.000000
36 13 1.000000
36 14 1.000000
36 15 1.000000
36 16 1.000000
36 17 1.000000
36 18 1.000000
36 19 1.000000
36 20 1.000000
36 21 1.000000
36 22 1.000000
36 23 1.000000
36 24 1.000000
36 25 1.000000
36 26 1.000000
36 27 1.000000
36 28 1.000000
36 29 1.000000
36 30 1.000000
36 31 1.000000
36 32 1.000000
36 33 1.000000
36 34 1.000000
36 35 1.000000
37 2 1.000000
37 63 1.000000
37 3 1.000000
37 4 1.000000
37 5 1.000000
37 6 1.000000
37 7 1.000000
37 8 1.000000
37 9 1.000000
37 10 1.000000
37 11 1.000000
37 12 1.000000
37 13 1.000000
37 14 1.000000
37 15 1.000000
37 16 1.000000
37 17 1.000000
37 18 1.000000
37 19 1.000000
37 20 1.000000
37 21 1.000000
37 22 1.000000
37 23 1.000000
37 24 1.000000
37 25 1.000000
37 26 1.000000
37 27 1.000000
37 28 1.000000
37 29 1.000000
37 30 1.000000
37 31 1.000000
37 32 1.000000
37 33 1.000000
37 34 1.000000
37 35 1.000000
37 36 1.000000
38 2 1.000000
38 63 1.000000
38 3 1.000000
38 4 1.000000
38 5 1.000000
38 6 1.000000
38 7 1.000000
38 8 1.000000
38 9 1.000000
38 10 1.000000
38 11 1.000000
38 12 1.000000
38 13 1.000000
38 14 1.000000
38 15 1.000000
38 16 1.000000
38 17 1.000000
38 18 1.000000
38 19 1.000000
38 20 1.000000
38 21 1.000000
38 22 1.000000
38 23 1.000000
38 24 1.000000
38 25 1.000000
38 26 1.000000
38 27 1.000000
38 28 1.000000
38 29 1.000000
38 30 1.000000
38 31 1.000000
38 32 1.000000
38 33 1.000000
38 34 1.000000
38 35 1.000000
38 36 1.000000
38 37 1.000000
39 1 1.000000
39 2 1.000000
39 63 1.000000
39 3 1.000000
39 4 1.000000
39 5 1.000000
39 6 1.000000
39 7 1.000000
39 8 1.000000
39 9 1.000000
39 10 1.000000
39 11 1.000000
39 12 1.000000
39 13 1.000000
39 14 1.000000
39 15 1.000000
39 16 1.000000
39 17 1.000000
39 18 1.000000
39 19 1.000000
39 20 1.000000
39 21 1.000000
39 22 1.000000
39 23 1.000000
39 24 1.000000
39 25 1.000000
39 26 1.000000
39 27 1.000000
39 28 1.000000
39 29 1.000000
39 30 1.000000
39 31 1.000000
39 32 1.000000
39 33 1.000000
39 34 1.000000
39 35 1.000000
39 36 1.000000
39 37 1.000000
39 38 1.000000
40 2 1.000000
40 63 1.000000
40 3 1.000000
40 4 1.000000
40 5 1.000000
40 6 1.000000
40 7 1.000000
40 8 1.000000
40 9 1.000000
40 10 1.000000
40 11 1.000000
40 12 1.000000
40 13 1.000000
40 14 1.000000
40 15 1.000000
40 16 1.000000
40 17 1.000000
40 18 1.000000
40 19 1.000000
40 20 1.000000
40 21 1.000000
40 22 1.000000
40 23 1.000000
40 24 1.000000
40 25 1.000000
40 26 1.000000
40 27 1.000000
40 28 1.000000
40 29 1.000000
40 30 1.000000
40 31 1.000000
40 32 1.000000
40 33 1.000000
40 34 1.000000
40 35 1.000000
40 36 1.000000
40 37 1.000000
40 38 1.000000
40 39 1.000000
41 2 1.000000
41 63 1.000000
41 3 1.000000
41 4 1.000000
41 5 1.000000
41 6 1.000000
41 7 1.000000
41 8 1.000000
41 9 1.000000
41 10 1.000000
41 11 1.000000
41 12 1.000000
41 13 1.000000
41 14 1.000000
41 15 1.000000
41 16 1.000000
41 17 1.000000
41 18 1.000000
41 19 1.000000
41 20 1.000000
41 21 1.000000
41 22 1.000000
41 23 1.000000
41 24 1.000000
41 25 1.000000
41 26 1.000000
41 27 1.000000
41 28 1.000000
41 29 1.000000
41 30 1.000000
41 31 1.000000
41 32 1.000000
41 33 1.000000
41 34 1.000000
41 35 1.000000
41 36 1.000000
41 37 1.000000
41 38 1.000000
41 39 1.000000
41 40 1.000000
42 2 1.000000
42 63 1.000000
42 3 1.000000
42 4 1.000000
42 5 1.000000
42 6 1.000000
42 7 1.000000
42 8 1.000000
42 9 1.000000
42 10 1.000000
42 11 1.000000
42 12 1.000000
42 13 1.000000
42 14 1.000000
42 15 1.000000
42 16 1.000000
42 17 1.000000
42 18 1.000000
42 19 1.000000
42 20 1.000000
42 21 1.000000
42 22 1.000000
42 23 1.000000
42 24 1.000000
42 25 1.000000
42 26 1.000000
42 27 1.000000
42 28 1.000000
42 29 1.000000
42 30 1.000000
42 31 1.000000
42 32 1.000000
42 33 1.000000
42 34 1.000000
42 35 1.000000
42 36 1.000000
42 37 1.000000
42 38 1.000000
42 39 1.000000
42 40 1.000000
42 41 1.000000
43 2 1.000000
43 63 1.000000
43 3 1.000000
43 4 1.000000
43 5 1.000000
43 6 1.000000
43 7 1.000000
43 8 1.000000
43 9 1.000000
43 10 1.000000
43 11 1.000000
43 12 1.000000
43 13 1.000000
43 14 1.000000
43 15 1.000000
43 16 1.000000
43 17 1.000000
43 18 1.000000
43 19 1.000000
43 20 1.000000
43 21 1.000000
43 22 1.000000
43 23 1.000000
43 24 1.000000
43 25 1.000000
43 26 1.000000
43 27 1.000000
43 28 1.000000
43 29 1.000000
43 30 1.000000
43 31 1.000000
43 32 1.000000
43 33 1.000000
43 34 1.000000
43 35 1.000000
43 36 1.000000
43 37 1.000000
43 38 1.000000
43 39 1.000000
43 40 1.000000
43 41 1.000000
43 42 1.000000
44 2 1.000000
44 63 1.000000
44 3 1.000000
44 4 1.000000
44 5 1.000000
44 6 1.000000
44 7 1.000000
44 8 1.000000
44 9 1.000000
44 10 1.000000
44 11 1.000000
44 12 1.000000
44 13 1.000000
44 14 1.000000
44 15 1.000000
44 16 1.000000
44 17 1.000000
44 18 1.000000
44 19 1.000000
44 20 1.000000
44 21 1.000000
44 22 1.000000
44 23 1.000000
44 24 1.000000
44 25 1.000000
44 26 1.000000
44 27 1.000000
44 28 1.000000
44 29 1.000000
44 30 1.000000
44 31 1.000000
44 32 1.000000
44 33 1.000000
44 34 1.000000
44 35 1.000000
44 36 1.000000
44 37 1.000000
44 38 1.000000
44 39 1.000000
44 40 1.000000
44 41 1.000000
44 42 1.000000
44 43 1.000000
45 2 1.000000
45 63 1.000000
45 3 1.000000
45 4 1.000000
45 5 1.000000
45 6 1.000000
45 7 1.000000
45 8 1.000000
45 9 1.000000
45 10 1.000000
45 11 1.000000
45 12 1.000000
45 13 1.000000
45 14 1.000000
45 15 1.000000
45 16 1.000000
45 17 1.000000
45 18 1.000000
45 19 1.000000
45 20 1.000000
45 21 1.000000
45 22 1.000000
45 23 1.000000
45 24 1.000000
45 25 1.000000
45 26 1.000000
45 27 1.000000
45 28 1.000000
45 29 1.000000
45 30 1.000000
45 31 1.000000
45 32 1.000000
45 33 1.000000
45 34 1.000000
45 35 1.000000
45 36 1.000000
45 37 1.000000
45 38 1.000000
45 39 1.000000
45 40 1.000000
45 41 1.000000
45 42 1.000000
45 43 1.000000
45 44 1.000000
46 2 1.000000
46 63 1.000000
46 3 1.000000
46 4 1.000000
46 5 1.000000
46 6 1.000000
46 7 1.000000
46 8 1.000000
46 9 1.000000
46 10 1.000000
46 11 1.000000
46 12 1.000000
46 13 1.000000
46 14 1.000000
46 15 1.000000
46 16 1.000000
46 17 1.000000
46 18 1.000000
46 19 1.000000
46 20 1.000000
46 21 1.000000
46 22 1.000000
46 23 1.000000
46 24 1.000000
46 25 1.000000
46 26 1.000000
46 27 1.000000
46 28 1.000000
46 29 1.000000
46 30 1.000000
46 31 1.000000
46 32 1.000000
46 33 1.000000
46 34 1.000000
46 35 1.000000
46 36 1.000000
46 37 1.000000
46 38 1.000000
46 39 1.000000
46 40 1.000000
46 41 1.000000
46 42 1.000000
46 43 1.000000
46 44 1.000000
46 45 1.000000
47 2 1.000000
47 63 1.000000
47 3 1.000000
47 4 1.000000
47 5 1.000000
47 6 1.000000
47 7 1.000000
47 8 1.000000
47 9 1.000000
47 10 1.000000
47 11 1.000000
47 12 1.000000
47 13 1.000000
47 14 1.000000
47 15 1.000000
47 16 1.000000
47 17 1.000000
47 18 1.000000
47 19 1.000000
47 20 1.000000
47 21 1.000000
47 22 1.000000
47 23 1.000000
47 24 1.000000
47 25 1.000000
47 26 1.000000
47 27 1.000000
47 28 1.000000
47 29 1.000000
47 30 1.000000
47 31 1.000000
47 32 1.000000
47 33 1.000000
47 34 1.000000
47 35 1.000000
47 36 1.000000
47 37 1.000000
47 38 1.000000
47 39 1.000000
47 40 1.000000
47 41 1.000000
47 42 1.000000
47 43 1.000000
47 44 1.000000
47 45 1.000000
47 46 1.000000
48 2 1.000000
48 63 1.000000
48 3 1.000000
48 4 1.000000
48 5 1.000000
48 6 1.000000
48 7 1.000000
48 8 1.000000
48 9 1.000000
48 10 1.000000
48 11 1.000000
48 12 1.000000
48 13 1.000000
48 14 1.000000
48 15 1.000000
48 16 1.000000
48 17 1.000000
48 18 1.000000
48 19 1.000000
48 20 1.000000
48 21 1.000000
48 22 1.000000
48 23 1.000000
48 24 1.000000
48 25 1.000000
48 26 1.000000
48 27 1.000000
48 28 1.000000
48 29 1.000000
48 30 1.000000
48 31 1.000000
48 32 1.000000
48 33 1.000000
48 34 1.000000
48 35 1.000000
48 36 1.000000
48 37 1.000000
48 38 1.000000
48 39 1.000000
48 40 1.000000
48 41 1.000000
48 42 1.000000
48 43 1.000000
48 44 1.000000
48 45 1.000000
48 46 1.000000
48 47 1.000000
49 2 1.000000
49 63 1.000000
49 3 1.000000
49 4 1.000000
49 5 1.000000
49 6 1.000000
49 7 1.000000
49 8 1.000000
49 9 1.000000
49 10 1.000000
49 11 1.000000
49 12 1.000000
49 13 1.000000
49 14 1.000000
49 15 1.000000
49 16 1.000000
49 17 1.000000
49 18 1.000000
49 19 1.000000
49 20 1.000000
49 21 1.000000
49 22 1.000000
49 23 1.000000
49 24 1.000000
49 25 1.000000
49 26 1.000000
49 27 1.000000
49 28 1.000000
49 29 1.000000
49 30 1.000000
49 31 1.000000
49 32 1.000000
49 33 1.000000
49 34 1.000000
49 35 1.000000
49 36 1.000000
49 37 1.000000
49 38 1.000000
49 39 1.000000
49 40 1.000000
49 41 1.000000
49 42 1.000000
49 43 1.000000
49 44 1.000000
49 45 1.000000
49 46 1.000000
49 47 1.000000
49 48 1.000000
50 1 1.000000
50 2 1.000000
50 63 1.000000
50 3 1.000000
50 4 1.000000
50 5 1.000000
50 6 1.000000
50 7 1.000000
50 8 1.000000
50 9 1.000000
50 10 1.000000
50 11 1.000000
50 12 1.000000
50 13 1.000000
50 14 1.000000
50 15 1.000000
50 16 1.000000
50 17 1.000000
50 18 1.000000
50 19 1.000000
50 20 1.000000
50 21 1.000000
50 22 1.000000
50 23 1.000000
50 24 1.000000
50 25 1.000000
50 26 1.000000
50 27 1.000000
50 28 1.000000
50 29 1.000000
50 30 1.000000
50 31 1.000000
50 32 1.000000
50 33 1.000000
50 34 1.000000
50 35 1.000000
50 36 1.000000
50 37 1.000000
50 38 1.000000
50 39 1.000000
50 40 1.000000
50 41 1.000000
50 42 1.000000
50 43 1.000000
50 44 1.000000
50 45 1.000000
50 46 1.000000
50 47 1.000000
50 48 1.000000
50 49 1.000000
51 2 1.000000
51 63 1.000000
51 3 1.000000
51 4 1.000000
51 5 1.000000
51 6 1.000000
51 7 1.000000
51 8 1.000000
51 9 1.000000
51 10 1.000000
51 11 1.000000
51 12 1.000000
51 13 1.000000
51 14 1.000000
51 15 1.000000
51 16 1.000000
51 17 1.000000
51 18 1.000000
51 19 1.000000
51 20 1.000000
51 21 1.000000
51 22 1.000000
51 23 1.000000
51 24 1.000000
51 25 1.000000
51 26 1.000000
51 27 1.000000
51 28 1.000000
51 29 1.000000
51 30 1.000000
51 31 1.000000
51 32 1.000000
51 33 1.000000
51 34 1.000000
51 35 1.000000
51 36 1.000000
51 37 1.000000
51 38 1.000000
51 39 1.000000
51 40 1.000000
51 41 1.000000
51 42 1.000000
51 43 1.000000
51 44 1.000000
51 45 1.000000
51 46 1.000000
51 47 1.000000
51 48 1.000000
51 49 1.000000
51 50 1.000000
52 2 1.000000
52 63 1.000000
52 3 1.000000
52 4 1.000000
52 5 1.000000
52 6 1.000000
52 7 1.000000
52 8 1.000000
52 9 1.000000
52 10 1.000000
52 11 1.000000
52 12 1.000000
52 13 1.000000
52 14 1.000000
52 15 1.000000
52 16 1.000000
52 17 1.000000
52 18 1.000000
52 19 1.000000
52 20 1.000000
52 21 1.000000
52 22 1.000000
52 23 1.000000
52 24 1.000000
52 25 1.000000
52 26 1.000000
52 27 1.000000
52 28 1.000000
52 29 1.000000
52 30 1.000000
52 31 1.000000
52 32 1.000000
52 33 1.000000
52 34 1.000000
52 35 1.000000
52 36 1.000000
52 37 1.000000
52 38 1.000000
52 39 1.000000
52 40 1.000000
52 41 1.000000
52 42 1.000000
52 43 1.000000
52 44 1.000000
52 45 1.000000
52 46 1.000000
52 47 1.000000
52 48 1.000000
52 49 1.000000
52 50 1.000000
52 51 1.000000
53 2 1.000000
53 63 1.000000
53 3 1.000000
53 4 1.000000
53 5 1.000000
53 6 1.000000
53 7 1.000000
53 8 1.000000
53 9 1.000000
53 10 1.000000
53 11 1.000000
53 12 1.000000
53 13 1.000000
53 14 1.000000
53 15 1.000000
53 16 1.000000
53 17 1.000000
53 18 1.000000
53 19 1.000000
53 20 1.000000
53 21 1.000000
53 22 1.000000
53 23 1.000000
53 24 1.000000
53 25 1.000000
53 26 1.000000
53 27 1.000000
53 28 1.000000
53 29 1.000000
53 30 1.000000
53 31 1.000000
53 32 1.000000
53 33 1.000000
53 34 1.000000
53 35 1.000000
53 36 1.000000
53 37 1.000000
53 38 1.000000
53 39 1.000000
53 40 1.000000
53 41 1.000000
53 42 1.000000
53 43 1.000000
53 44 1.000000
53 45 1.000000
53 46 1.000000
53 47 1.000000
53 48 1.000000
53 49 1.000000
53 50 1.000000
53 51 1.000000
53 52 1.000000
54 2 1.000000
54 63 1.000000
54 3 1.000000
54 4 1.000000
54 5 1.000000
54 6 1.000000
54 7 1.000000
54 8 1.000000
54 9 1.000000
54 10 1.000000
54 11 1.000000
54 12 1.000000
54 13 1.000000
54 14 1.000000
54 15 1.000000
54 16 1.000000
54 17 1.000000
54 18 1.000000
54 19 1.000000
54 20 1.000000
54 21 1.000000
54 22 1.000000
54 23 1.000000
54 24 1.000000
54 25 1.000000
54 26 1.000000
54 27 1.000000
54 28 1.000000
54 29 1.000000
54 30 1.000000
54 31 1.000000
54 32 1.000000
54 33 1.000000
54 34 1.000000
54 35 1.000000
54 36 1.000000
54 37 1.000000
54 38 1.000000
54 39 1.000000
54 40 1.000000
54 41 1.000000
54 42 1.000000
54 43 1.000000
54 44 1.000000
54 45 1.000000
54 46 1.000000
54 47 1.000000
54 48 1.000000
54 49 1.000000
54 50 1.000000
54 51 1.000000
54 52 1.000000
54 53 1.000000
55 2 1.000000
55 63 1.000000
55 3 1.000000
55 4 1.000000
55 5 1.000000
55 6 1.000000
55 7 1.000000
55 8 1.000000
55 9 1.000000
55 10 1.000000
55 11 1.000000
55 12 1.000000
55 13 1.000000
55 14 1.000000
55 15 1.000000
55 16 1.000000
55 17 1.000000
55 18 1.000000
55 19 1.000000
55 20 1.000000
55 21 1.000000
55 22 1.000000
55 23 1.000000
55 24 1.000000
55 25 1.000000
55 26 1.000000
55 27 1.000000
55 28 1.000000
55 29 1.000000
55 30 1.000000
55 31 1.000000
55 32 1.000000
55 33 1.000000
55 34 1.000000
55 35 1.000000
55 36 1.000000
55 37 1.000000
55 38 1.000000
55 39 1.000000
55 40 1.000000
55 41 1.000000
55 42 1.000000
55 43 1.000000
55 44 1.000000
55 45 1.000000
55 46 1.000000
55 47 1.000000
55 48 1.000000
55 49 1.000000
55 50 1.000000
55 51 1.000000
55 52 1.000000
55 53 1.000000
55 54 1.000000
56 2 1.000000
56 63 1.000000
56 3 1.000000
56 4 1.000000
56 5 1.000000
56 6 1.000000
56 7 1.000000
56 8 1.000000
56 9 1.000000
56 10 1.000000
56 11 1.000000
56 12 1.000000
56 13 1.000000
56 14 1.000000
56 15 1.000000
56 16 1.000000
56 17 1.000000
56 18 1.000000
56 19 1.000000
56 20 1.000000
56 21 1.000000
56 22 1.000000
56 23 1.000000
56 24 1.000000
56 25 1.000000
56 26 1.000000
56 27 1.000000
56 28 1.000000
56 29 1.000000
56 30 1.000000
56 31 1.000000
56 32 1.000000
56 33 1.000000
56 34 1.000000
56 35 1.000000
56 36 1.000000
56 37 1.000000
56 38 1.000000
56 39 1.000000
56 40 1.000000
56 41 1.000000
56 42 1.000000
56 43 1.000000
56 44 1.000000
56 45 1.000000
56 46 1.000000
56 47 1.000000
56 48 1.000000
56 49 1.000000
56 50 1.000000
56 51 1.000000
56 52 1.000000
56 53 1.000000
56 54 1.000000
56 55 1.000000
57 2 1.000000
57 63 1.000000
57 3 1.000000
57 4 1.000000
57 5 1.000000
57 6 1.000000
57 7 1.000000
